NOM_IRIS;NE_ID;Date;Duree;Type;volume_nuitee;total_volume_nuitee;sum_vol_nuitee_per_date_com;mean_com_vol_nuitee
Rosières-près-Troyes;911099;2023-12-07;Inf30min;National;25.0;4838216.0;25.0;27.5
Rosières-près-Troyes;911099;2023-12-08;Inf30min;National;27.0;4838216.0;27.0;27.5
Rosières-près-Troyes;911099;2023-12-15;Inf30min;National;32.0;4838216.0;32.0;27.5
Rosières-près-Troyes;911099;2024-01-04;Inf30min;National;26.0;4838216.0;26.0;27.5
La Rivière-de-Corps;911121;2023-12-15;Inf30min;Etranger;20.0;4838216.0;20.0;20.0
Sainte-Savine Est;903295;2023-12-29;Inf30min;National;28.0;4838216.0;28.0;28.0
Bas Clos Nord-Est;904304;2023-12-07;Inf30min;National;23.0;4838216.0;23.0;24.5
Bas Clos Nord-Est;904304;2024-01-05;Inf30min;National;26.0;4838216.0;26.0;24.5
Croncels;925636;2023-11-27;Inf30min;National;24.0;4838216.0;24.0;32.166666666666664
Croncels;925636;2023-12-02;Inf30min;National;30.0;4838216.0;30.0;32.166666666666664
Croncels;925636;2023-12-08;Inf30min;National;34.0;4838216.0;34.0;32.166666666666664
Croncels;925636;2023-12-13;Inf30min;National;25.0;4838216.0;25.0;32.166666666666664
Croncels;925636;2023-12-23;Inf30min;National;50.0;4838216.0;50.0;32.166666666666664
Croncels;925636;2024-01-26;Inf30min;National;30.0;4838216.0;30.0;32.166666666666664
Pont-Sainte-Marie;907484;2024-01-28;Inf30min;National;34.0;4838216.0;34.0;34.0
Clérey;924845;2023-11-28;Inf30min;National;25.0;4838216.0;25.0;23.75
Clérey;924845;2023-12-06;Inf30min;Etranger;25.0;4838216.0;25.0;23.75
Clérey;924845;2023-12-22;Inf30min;National;20.0;4838216.0;20.0;23.75
Clérey;924845;2024-01-10;Inf30min;National;25.0;4838216.0;25.0;23.75
Vieille Ville Nord-Est;926568;2024-01-04;Inf30min;National;28.0;4838216.0;28.0;28.0
Courcelles-sur-Blaise;941304;2024-01-01;Inf30min;Etranger;22.0;4838216.0;22.0;22.0
Souvigné;909555;2024-01-18;Inf30min;Etranger;28.0;4838216.0;28.0;28.0
Nersac;906556;2023-12-22;Inf30min;Etranger;29.0;4838216.0;29.0;29.0
Reignac;910850;2023-12-04;Inf30min;Etranger;29.0;4838216.0;29.0;31.636363636363637
Reignac;910850;2023-12-06;Inf30min;Etranger;26.0;4838216.0;26.0;31.636363636363637
Reignac;910850;2023-12-12;Inf30min;Etranger;29.0;4838216.0;29.0;31.636363636363637
Reignac;910850;2023-12-13;Inf30min;Etranger;34.0;4838216.0;34.0;31.636363636363637
Reignac;910850;2023-12-19;Inf30min;Etranger;38.0;4838216.0;38.0;31.636363636363637
Reignac;910850;2023-12-20;Inf30min;Etranger;28.0;4838216.0;28.0;31.636363636363637
Reignac;910850;2023-12-23;Inf30min;Etranger;29.0;4838216.0;29.0;31.636363636363637
Reignac;910850;2024-01-07;Inf30min;Etranger;20.0;4838216.0;20.0;31.636363636363637
Reignac;910850;2024-01-09;Inf30min;Etranger;32.0;4838216.0;32.0;31.636363636363637
Reignac;910850;2024-01-23;Inf30min;Etranger;33.0;4838216.0;33.0;31.636363636363637
Reignac;910850;2024-01-27;Inf30min;Etranger;50.0;4838216.0;50.0;31.636363636363637
Touvérac;941406;2023-12-06;Inf30min;Etranger;21.0;4838216.0;21.0;23.0
Touvérac;941406;2024-01-10;Inf30min;Etranger;25.0;4838216.0;25.0;23.0
Pons;907468;2024-01-21;Inf30min;Etranger;23.0;4838216.0;23.0;23.0
Listrac-Médoc;945705;2023-12-22;Inf30min;National;24.0;4838216.0;24.0;24.0
Magonty;934500;2023-12-24;Inf30min;National;24.0;4838216.0;24.0;24.0
Écarts Ruraux;944192;2023-12-26;Inf30min;National;27.0;4838216.0;27.0;29.0
Écarts Ruraux;944192;2024-01-05;Inf30min;Etranger;31.0;4838216.0;31.0;29.0
Belin-Béliet;943847;2024-01-10;Inf30min;Etranger;21.0;4838216.0;21.0;21.0
Bernos-Beaulac;942760;2023-12-22;Inf30min;Etranger;33.0;4838216.0;33.0;33.0
Balizac;915458;2023-12-30;Inf30min;National;24.0;4838216.0;24.0;24.0
Arlac 1;924495;2024-01-07;Inf30min;Etranger;20.0;4838216.0;20.0;20.0
Capeyron 3;945783;2023-12-29;Inf30min;National;22.0;4838216.0;22.0;22.0
Saint-Seurin-Fondaudège 9;918107;2023-12-29;Sup3h;National;22.0;4838216.0;22.0;22.0
Hôtel de Ville-Quinconces 2;933796;2023-12-15;Inf30min;National;20.0;4838216.0;20.0;20.0
Tresses;911931;2024-01-06;Inf30min;Etranger;26.0;4838216.0;26.0;26.0
Nord;904005;2024-01-07;Inf30min;Etranger;26.0;4838216.0;26.0;26.0
Nord-Ouest;904195;2024-01-07;Inf30min;Etranger;74.0;4838216.0;74.0;56.0
Nord-Ouest;904195;2024-01-14;Inf30min;Etranger;38.0;4838216.0;38.0;56.0
Sud;909845;2024-01-07;Inf30min;Etranger;75.0;4838216.0;75.0;75.0
Cimetière Nord-Petit Bruges;941144;2023-12-22;Inf30min;National;24.0;4838216.0;24.0;24.0
Laruscade;935766;2023-11-27;Inf30min;Etranger;20.0;4838216.0;20.0;26.0
Laruscade;935766;2024-01-04;Inf30min;National;24.0;4838216.0;24.0;26.0
Laruscade;935766;2024-01-09;Inf30min;Etranger;34.0;4838216.0;34.0;26.0
Bedenac;906580;2023-12-02;Inf30min;Etranger;32.0;4838216.0;32.0;30.0
Bedenac;906580;2023-12-06;Inf30min;Etranger;25.0;4838216.0;25.0;30.0
Bedenac;906580;2023-12-12;Inf30min;Etranger;24.0;4838216.0;24.0;30.0
Bedenac;906580;2023-12-18;Inf30min;Etranger;22.0;4838216.0;22.0;30.0
Bedenac;906580;2023-12-23;Inf30min;Etranger;30.0;4838216.0;30.0;30.0
Bedenac;906580;2024-01-07;Inf30min;Etranger;47.0;4838216.0;47.0;30.0
Ménesplet;908851;2023-11-27;Inf30min;Etranger;26.0;4838216.0;26.0;26.0
Nord;908288;2023-12-15;Inf30min;National;146.0;4838216.0;146.0;146.0
Nord;917308;2023-12-02;Inf30min;Etranger;38.0;4838216.0;38.0;28.0
Nord;917308;2024-01-06;Inf30min;Etranger;21.0;4838216.0;21.0;28.0
Nord;917308;2024-01-19;Inf30min;Etranger;25.0;4838216.0;25.0;28.0
Quartier Est 2;915155;2023-11-29;Inf30min;Etranger;26.0;4838216.0;26.0;31.333333333333332
Quartier Est 2;915155;2023-12-05;Inf30min;Etranger;27.0;4838216.0;27.0;31.333333333333332
Quartier Est 2;915155;2023-12-08;Inf30min;Etranger;26.0;4838216.0;50.0;31.333333333333332
Quartier Est 2;915155;2023-12-08;Inf30min;National;24.0;4838216.0;50.0;31.333333333333332
Quartier Est 2;915155;2023-12-18;Inf30min;Etranger;23.0;4838216.0;23.0;31.333333333333332
Quartier Est 2;915155;2023-12-29;Inf30min;Etranger;22.0;4838216.0;22.0;31.333333333333332
Quartier Est 2;915155;2024-01-06;Inf30min;Etranger;24.0;4838216.0;24.0;31.333333333333332
Quartier Est 2;915155;2024-01-09;Inf30min;Etranger;34.0;4838216.0;34.0;31.333333333333332
Quartier Est 2;915155;2024-01-18;Inf30min;Etranger;26.0;4838216.0;26.0;31.333333333333332
Gorre;941313;2023-12-01;Inf30min;National;47.0;4838216.0;47.0;47.0
Chasseneuil-sur-Bonnieure;910395;2023-11-29;Inf30min;Etranger;35.0;4838216.0;35.0;27.0
Chasseneuil-sur-Bonnieure;910395;2023-12-20;Inf30min;Etranger;25.0;4838216.0;25.0;27.0
Chasseneuil-sur-Bonnieure;910395;2024-01-11;Inf30min;Etranger;21.0;4838216.0;21.0;27.0
Rivières;929470;2023-12-20;Inf30min;Etranger;22.0;4838216.0;22.0;26.666666666666668
Rivières;929470;2023-12-29;Inf30min;Etranger;25.0;4838216.0;25.0;26.666666666666668
